Id,Predicted
1,8914
2,5506
3,6492
4,5364
5,8297
6,4946
7,4099
8,9144
9,476
10,7482
11,5614
12,1624
13,3984
14,4897
15,5565
16,8327
17,6775
18,3808
19,7806
20,3687
21,1966
22,8300
23,8595
24,8704
25,8250
26,2129
27,5108
28,8739
29,3521
30,4063
31,6155
32,3243
33,9704
34,2539
35,7487
36,151
37,8683
38,1561
39,9218
40,899
41,8569
42,3833
43,7795
44,2989
45,6156
46,5240
47,9048
48,7487
49,4198
50,8329
51,421
52,1420
53,3085
54,6346
55,2283
56,2780
57,6455
58,7224
59,2623
60,9000
61,9135
62,2667
63,5657
64,4789
65,9902
66,318
67,4986
68,5617
69,1509
70,6063
71,1663
72,3086
73,6898
74,3828
75,1012
76,5171
77,9014
78,7410
79,4970
80,3338
81,4925
82,267
83,8479
84,8976
85,2021
86,7180
87,8930
88,940
89,7810
90,7346
91,9956
92,743
93,7036
94,757
95,4885
96,1769
97,9353
98,1377
99,5436
100,6958
101,2325
102,2856
103,1556
104,4118
105,6749
106,4670
107,450
108,5396
109,7505
110,5610
111,7479
112,4262
113,5588
114,1068
115,1317
116,8618
117,1020
118,8429
119,3738
120,8938
121,7475
122,5698
123,8704
124,715
125,7861
126,15
127,13
128,3912
129,4721
130,4472
131,6941
132,5677
133,7262
134,5209
135,5795
136,7904
137,9176
138,3968
139,8670
140,8654
141,4027
142,8163
143,3442
144,256
145,5778
146,9075
147,5710
148,1004
149,4563
150,2593
151,5801
152,4936
153,4305
154,8344
155,4386
156,6026
157,3073
158,3066
159,6726
160,6721
161,5524
162,1760
163,1172
164,3759
165,5082
166,7751
167,4995
168,8067
169,5461
170,8931
171,9588
172,5645
173,7555
174,3469
175,7463
176,7853
177,5330
178,6712
179,7736
180,6135
181,8470
182,3767
183,4615
184,4673
185,8897
186,2607
187,2147
188,4229
189,2529
190,2040
191,1441
192,2205
193,2600
194,9074
195,2274
196,9442
197,2336
198,9981
199,4267
200,1245
201,4947
202,8839
203,9108
204,9565
205,3768
206,6601
207,3634
208,3475
209,8000
210,1613
211,5713
212,7952
213,8019
214,9836
215,7909
216,8298
217,6534
218,8534
219,6785
220,6414
221,8995
222,7195
223,3878
224,7487
225,5246
226,1256
227,3472
228,6162
229,5420
230,403
231,3767
232,7834
233,5487
234,9467
235,595
236,4858
237,5282
238,7689
239,9350
240,3878
241,6526
242,2688
243,8262
244,8279
245,2406
246,6549
247,4234
248,5641
249,7743
250,2016
251,3452
252,5465
253,2706
254,2341
255,6469
256,7554
257,5712
258,7952
259,4856
260,5655
261,9445
262,1509
263,6599
264,628
265,7710
266,6156
267,2643
268,5755
269,9853
270,5519
271,6183
272,6196
273,3366
274,1087
275,6022
276,3121
277,5248
278,811
279,6703
280,2335
281,9642
282,4172
283,1387
284,1726
285,4383
286,4562
287,5930
288,4099
289,6504
290,933
291,1184
292,2783
293,8363
294,2008
295,1744
296,4172
297,5784
298,4485
299,8476
300,6131
301,9904
302,3936
303,8745
304,1856
305,3649
306,7157
307,6424
308,5519
309,2664
310,7143
311,6006
312,2276
313,8130
314,3567
315,1291
316,5008
317,4446
318,5588
319,2268
320,3854
321,4977
322,985
323,6043
324,3781
325,3292
326,319
327,7573
328,4165
329,8599
330,4427
331,7703
332,8878
333,7254
334,7894
335,1246
336,8030
337,9789
338,8508
339,5357
340,7556
341,2986
342,6183
343,7959
344,3875
345,4044
346,9799
347,4792
348,1312
349,7775
350,8228
351,6841
352,5965
353,476
354,2351
355,1758
356,7515
357,1029
358,6052
359,1476
360,2415
361,6826
362,1800
363,1901
364,588
365,8460
366,8012
367,2000
368,9312
369,3018
370,1523
371,5588
372,6589
373,5258
374,9763
375,8176
376,5163
377,1826
378,2623
379,3933
380,4741
381,4267
382,5354
383,2936
384,4850
385,3821
386,5801
387,4467
388,5888
389,5102
390,9937
391,80
392,6889
393,5523
394,1426
395,574
396,9758
397,2888
398,1125
399,7696
400,9759
401,3464
402,2873
403,5781
404,3833
405,1240
406,5391
407,9889
408,1383
409,2249
410,193
411,978
412,4762
413,7886
414,7658
415,1828
416,2856
417,7036
418,7650
419,2593
420,8001
421,5884
422,3940
423,9440
424,7254
425,2511
426,3440
427,3279
428,7768
429,4831
430,4953
431,6756
432,5926
433,619
434,1146
435,3951
436,6596
437,2493
438,3637
439,9262
440,8666
441,1247
442,2691
443,4667
444,1148
445,4065
446,2306
447,6372
448,8671
449,4910
450,8989
451,3439
452,5046
453,5774
454,3661
455,2816
456,8616
457,2097
458,3695
459,4808
460,3083
461,2505
462,2463
463,9668
464,4427
465,2728
466,1321
467,5618
468,4562
469,684
470,2704
471,3720
472,1064
473,8865
474,6184
475,7995
476,6802
477,8879
478,7991
479,788
480,3738
481,2188
482,7935
483,3907
484,5238
485,4429
486,4446
487,8996
488,3728
489,4062
490,7394
491,6898
492,6481
493,1380
494,3634
495,8872
496,2008
497,4318
498,5684
499,6237
500,1717
501,5171
502,7831
503,4462
504,555
505,9465
506,9458
507,5316
508,9516
509,4935
510,2187
511,8460
512,7996
513,5887
514,1386
515,5286
516,4656
517,139
518,8834
519,9645
520,7821
521,6538
522,1297
523,4337
524,4770
525,6359
526,5597
527,4811
528,4621
529,5006
530,8875
531,9279
532,4795
533,6434
534,2187
535,2780
536,4826
537,1509
538,4858
539,3242
540,2546
541,2645
542,9447
543,5804
544,3779
545,9745
546,9638
547,4868
548,6779
549,5329
550,5524
551,7329
552,8104
553,7606
554,4490
555,1650
556,6150
557,5134
558,8931
559,6882
560,2983
561,6498
562,4232
563,3856
564,17
565,4418
566,4612
567,6898
568,6891
569,6110
570,1353
571,3459
572,6943
573,5988
574,5662
575,6492
576,58
577,4480
578,4928
579,6602
580,1603
581,2112
582,2417
583,6230
584,8870
585,2067
586,6281
587,7185
588,2021
589,1513
590,4645
591,2031
592,8258
593,4757
594,9574
595,5291
596,4055
597,7105
598,3204
599,8124
600,373
601,5641
602,7693
603,8300
604,1731
605,835
606,1821
607,7525
608,895
609,7554
610,5184
611,6534
612,2123
613,2488
614,6023
615,3151
616,2470
617,6784
618,9362
619,6111
620,3817
621,9437
622,2834
623,8908
624,6133
625,5677
626,7195
627,4334
628,9521
629,6638
630,5677
631,1218
632,6306
633,7806
634,9759
635,4116
636,3471
637,4972
638,6107
639,8914
640,4596
641,7140
642,5125
643,8152
644,58
645,6805
646,1061
647,5747
648,380
649,7054
650,9986
651,8802
652,2268
653,811
654,119
655,9077
656,6584
657,4621
658,8776
659,8443
660,5218
661,6796
662,8931
663,9592
664,9136
665,6544
666,2396
667,1474
668,2730
669,1317
670,1366
671,1210
672,1159
673,4565
674,1921
675,7821
676,5986
677,4120
678,4214
679,1129
680,4818
681,1163
682,5424
683,2466
684,4974
685,8839
686,5352
687,5008
688,9607
689,4908
690,8091
691,7012
692,6725
693,1561
694,5842
695,4927
696,8689
697,3743
698,8040
699,1680
700,2081
701,1726
702,9911
703,1455
704,9606
705,9766
706,6632
707,8118
708,17
709,7750
710,2802
711,7991
712,8167
713,5128
714,8567
715,340
716,2150
