Id,Predicted
1,3799
2,25
3,6492
4,5299
5,8297
6,6650
7,6347
8,6512
9,476
10,25
11,1688
12,1624
13,5771
14,4897
15,5565
16,17
17,7682
18,7989
19,7806
20,7693
21,2410
22,25
23,7647
24,8704
25,1012
26,9945
27,1205
28,8739
29,3281
30,4063
31,3167
32,2470
33,25
34,2928
35,5076
36,151
37,9537
38,1561
39,9218
40,5043
41,8569
42,3833
43,7795
44,2989
45,6156
46,2649
47,2034
48,25
49,9599
50,8329
51,421
52,1420
53,3085
54,9209
55,5477
56,3223
57,6455
58,5385
59,2695
60,8274
61,9135
62,2268
63,9051
64,99
65,25
66,4575
67,4986
68,7568
69,1509
70,2136
71,5938
72,6752
73,6898
74,2780
75,3761
76,9468
77,8479
78,10
79,6160
80,3338
81,4925
82,5948
83,1510
84,2780
85,5222
86,1885
87,8930
88,8186
89,25
90,2199
91,9956
92,9645
93,6443
94,25
95,6936
96,6605
97,9353
98,9356
99,3220
100,6958
101,4716
102,8018
103,4379
104,5098
105,1051
106,8255
107,450
108,5396
109,7505
110,9588
111,6160
112,620
113,5588
114,2376
115,5589
116,6787
117,5452
118,8429
119,2276
120,2119
121,6752
122,2034
123,8704
124,715
125,6145
126,25
127,2034
128,3912
129,4585
130,10
131,6941
132,8056
133,5163
134,7866
135,8271
136,2724
137,2724
138,7202
139,8670
140,8654
141,4027
142,99
143,1291
144,256
145,4185
146,7841
147,5377
148,2724
149,6160
150,440
151,5801
152,970
153,7071
154,3358
155,7693
156,8338
157,4843
158,3066
159,9731
160,4886
161,5524
162,8111
163,1843
164,3241
165,25
166,4549
167,3137
168,12
169,5461
170,2623
171,25
172,9497
173,5904
174,8356
175,7463
176,8506
177,2833
178,62
179,9605
180,6135
181,2780
182,2711
183,4615
184,1754
185,8897
186,2268
187,10
188,4229
189,715
190,7937
191,25
192,2205
193,25
194,4612
195,2876
196,9633
197,2336
198,9981
199,3516
200,1090
201,4947
202,8839
203,6102
204,9565
205,3768
206,1336
207,5282
208,6683
209,1588
210,6647
211,5713
212,7952
213,8019
214,2408
215,62
216,7844
217,3320
218,4091
219,8898
220,4354
221,6040
222,965
223,1137
224,2167
225,5246
226,5558
227,9386
228,6772
229,1113
230,25
231,1811
232,5138
233,5487
234,7005
235,3933
236,2006
237,6671
238,4419
239,6287
240,1137
241,1578
242,2688
243,8
244,6001
245,115
246,4881
247,5102
248,4531
249,7743
250,2016
251,25
252,5465
253,4027
254,2341
255,9422
256,7554
257,593
258,7952
259,8046
260,25
261,12
262,6763
263,6599
264,25
265,7710
266,7185
267,6859
268,9905
269,2127
270,8290
271,6183
272,1679
273,3366
274,6646
275,6022
276,6140
277,5248
278,4746
279,6703
280,2867
281,3867
282,5878
283,1387
284,5241
285,7324
286,4562
287,9248
288,9588
289,6504
290,933
291,1184
292,9176
293,9318
294,2885
295,7718
296,4279
297,6354
298,4485
299,4910
300,1261
301,9904
302,1972
303,2034
304,2876
305,7957
306,7157
307,6424
308,3222
309,25
310,2835
311,6006
312,2276
313,5588
314,2977
315,1291
316,214
317,6160
318,5588
319,2268
320,3854
321,4977
322,985
323,2575
324,9431
325,2295
326,6160
327,5891
328,4165
329,6074
330,4427
331,5282
332,8878
333,7254
334,7894
335,25
336,25
337,6160
338,6160
339,4751
340,1973
341,2986
342,6183
343,7959
344,1904
345,25
346,2258
347,1113
348,1312
349,7775
350,8473
351,6841
352,5965
353,476
354,2351
355,1758
356,9096
357,7932
358,6354
359,8266
360,5282
361,3377
362,25
363,1901
364,6279
365,3032
366,428
367,2000
368,9312
369,4097
370,2623
371,5588
372,5417
373,5258
374,9905
375,8176
376,4892
377,5086
378,2536
379,3933
380,4741
381,4267
382,4786
383,1353
384,4850
385,9333
386,5801
387,6160
388,7790
389,8291
390,6729
391,7764
392,6889
393,8678
394,1090
395,83
396,9519
397,9259
398,8077
399,1128
400,3152
401,494
402,2873
403,6676
404,3833
405,3152
406,6903
407,9889
408,1608
409,25
410,2497
411,9257
412,6492
413,2038
414,7658
415,25
416,3206
417,7036
418,7650
419,2593
420,1275
421,8196
422,8660
423,2358
424,7254
425,3574
426,3202
427,4716
428,7065
429,2724
430,5517
431,9356
432,5926
433,25
434,25
435,3951
436,7504
437,9839
438,9
439,3891
440,8666
441,6571
442,25
443,3874
444,5669
445,4742
446,2306
447,6372
448,8671
449,2268
450,9397
451,3439
452,5046
453,6762
454,5955
455,6576
456,3146
457,1280
458,3695
459,8338
460,1850
461,2505
462,6520
463,820
464,4427
465,5807
466,1984
467,6160
468,9588
469,9599
470,2704
471,8429
472,1064
473,8865
474,6184
475,7995
476,9488
477,6040
478,6541
479,2670
480,6329
481,2188
482,7935
483,9839
484,5238
485,1856
486,2837
487,8996
488,933
489,8803
490,6512
491,3658
492,7326
493,2034
494,3634
495,4279
496,9645
497,7463
498,8866
499,6684
500,1717
501,5667
502,7831
503,5875
504,19
505,1959
506,2244
507,5316
508,1463
509,12
510,5612
511,4637
512,7996
513,1350
514,1386
515,5747
516,4656
517,139
518,8834
519,1660
520,614
521,4935
522,611
523,4337
524,3223
525,8558
526,7657
527,9588
528,8558
529,7553
530,6714
531,8153
532,539
533,9801
534,9551
535,8938
536,2606
537,1509
538,4858
539,9280
540,7532
541,5461
542,9332
543,4241
544,3779
545,9745
546,1261
547,4868
548,6779
549,5329
550,5527
551,25
552,8104
553,10
554,934
555,1650
556,6150
557,2724
558,5156
559,2566
560,2983
561,6451
562,7917
563,3856
564,8217
565,5032
566,4612
567,2870
568,8814
569,6110
570,1353
571,8196
572,7566
573,9094
574,5662
575,6492
576,4605
577,6761
578,4928
579,9512
580,1603
581,9765
582,2822
583,6230
584,8063
585,1312
586,6113
587,7185
588,5440
589,1381
590,4645
591,1261
592,3200
593,6567
594,4454
595,6160
596,2623
597,25
598,6160
599,3843
600,373
601,5814
602,4788
603,62
604,1731
605,2867
606,4952
607,4639
608,4232
609,7554
610,7312
611,3283
612,3931
613,6117
614,5344
615,2624
616,2470
617,8648
618,1072
619,6111
620,4484
621,2303
622,7559
623,6142
624,6133
625,25
626,7195
627,4334
628,8896
629,5136
630,3138
631,1218
632,6306
633,7806
634,5282
635,1589
636,25
637,4972
638,8196
639,1438
640,3461
641,462
642,25
643,3601
644,5282
645,6805
646,467
647,5311
648,44
649,6160
650,2876
